date,total_steps,source,device_name,device_manufacturer,creation_time
2018-12-01,2809,Apple Health App,iPhone,Apple,20:03:24
2018-12-02,2074,Apple Health App,iPhone,Apple,20:03:24
2018-12-03,7627,Apple Health App,iPhone,Apple,20:03:24
2018-12-04,5485,Apple Health App,iPhone,Apple,20:03:24
2018-12-05,30,Apple Health App,iPhone,Apple,20:03:24
2018-12-06,4879,Apple Health App,iPhone,Apple,20:03:24
2018-12-07,1015,Apple Health App,iPhone,Apple,20:03:24
2018-12-08,43,Apple Health App,iPhone,Apple,20:03:24
2018-12-09,80,Apple Health App,iPhone,Apple,20:03:24
2018-12-10,4195,Apple Health App,iPhone,Apple,20:03:24
2018-12-11,6312,Apple Health App,iPhone,Apple,04:25:06
2018-12-12,5151,Apple Health App,iPhone,Apple,04:25:06
2018-12-13,6590,Apple Health App,iPhone,Apple,04:25:06
2018-12-14,4236,Apple Health App,iPhone,Apple,04:25:06
2018-12-15,132,Apple Health App,iPhone,Apple,04:25:06
2018-12-16,130,Apple Health App,iPhone,Apple,04:25:06
2018-12-17,6810,Apple Health App,iPhone,Apple,04:25:06
2018-12-18,7304,Apple Health App,iPhone,Apple,04:25:06
2018-12-19,6659,Apple Health App,iPhone,Apple,04:25:06
2018-12-20,9917,Apple Health App,iPhone,Apple,04:25:06
2018-12-21,6140,Apple Health App,iPhone,Apple,04:25:06
2018-12-22,240,Apple Health App,iPhone,Apple,04:25:06
2018-12-23,142,Apple Health App,iPhone,Apple,04:25:06
2018-12-24,6325,Apple Health App,iPhone,Apple,04:25:06
2018-12-25,6035,Apple Health App,iPhone,Apple,19:25:28
2018-12-26,356,Apple Health App,iPhone,Apple,19:25:28
2018-12-27,1066,Apple Health App,iPhone,Apple,19:25:28
2018-12-28,107,Apple Health App,iPhone,Apple,19:25:28
2018-12-29,299,Apple Health App,iPhone,Apple,19:25:28
2018-12-30,10360,Apple Health App,iPhone,Apple,19:25:28
2018-12-31,789,Apple Health App,iPhone,Apple,19:25:28
2019-01-01,60,Apple Health App,iPhone,Apple,19:25:28
2019-01-02,876,Apple Health App,iPhone,Apple,19:25:28
2019-01-03,197,Apple Health App,iPhone,Apple,19:25:28
2019-01-04,2271,Apple Health App,iPhone,Apple,19:25:28
2019-01-05,56,Apple Health App,iPhone,Apple,19:25:28
2019-01-06,144,Apple Health App,iPhone,Apple,19:25:28
2019-01-07,8581,Apple Health App,iPhone,Apple,19:25:28
2019-01-08,7661,Apple Health App,iPhone,Apple,19:25:28
2019-01-09,6372,Apple Health App,iPhone,Apple,19:25:28
2019-01-10,4295,Apple Health App,iPhone,Apple,19:25:28
2019-01-11,9100,Apple Health App,iPhone,Apple,19:25:28
2019-01-12,133,Apple Health App,iPhone,Apple,19:25:28
2019-01-13,187,Apple Health App,iPhone,Apple,19:25:28
2019-01-14,5387,Apple Health App,iPhone,Apple,19:25:28
2019-01-15,7459,Apple Health App,iPhone,Apple,19:25:28
2019-01-16,6214,Apple Health App,iPhone,Apple,19:25:28
2019-01-17,7695,Apple Health App,iPhone,Apple,19:25:28
2019-01-18,4482,Apple Health App,iPhone,Apple,19:25:28
2019-01-19,2151,Apple Health App,iPhone,Apple,19:25:28
2019-01-20,1928,Apple Health App,iPhone,Apple,19:25:28
2019-01-21,3921,Apple Health App,iPhone,Apple,19:25:28
2019-01-22,4985,Apple Health App,iPhone,Apple,19:25:28
2019-01-23,2968,Apple Health App,iPhone,Apple,19:25:28
2019-01-24,124,Apple Health App,iPhone,Apple,19:25:28
2019-01-25,687,Apple Health App,iPhone,Apple,19:25:28
2019-01-26,2374,Apple Health App,iPhone,Apple,19:25:28
2019-01-27,28,Apple Health App,iPhone,Apple,19:25:28
2019-01-28,5301,Apple Health App,iPhone,Apple,19:25:28
2019-01-29,3854,Apple Health App,iPhone,Apple,19:25:28
2019-01-30,65,Apple Health App,iPhone,Apple,19:25:28
2019-01-31,1213,Apple Health App,iPhone,Apple,19:25:28
